Real part;Imaginary part;1:nQ, 2:nZ
0.0;0.0;100.0
0.0;0.0;786.0
0.0;0.0;
0.0;0.0;
256.8745027076036;-0.0025075186880318843;
249.59767575108185;-0.0019755380117033824;
242.24033850223637;-0.0013284746949576121;
236.93908559154937;-0.0009702283809150457;
231.18555594710494;-0.0007649394920261569;
229.34013643802228;-0.000930764415570758;
225.64538978463577;-0.001409409833897451;
222.14711212296334;-0.0018528085807539966;
219.60806542083566;-0.0021241206374915853;
217.29532036239334;-0.0023883967311314055;
216.2871787526859;-0.0024938110817519727;
214.75645520142973;-0.0023928805906572093;
213.91479613892974;-0.0022675680906572094;
213.183020678187;-0.0021595233797846334;
213.0817549689069;-0.0021350536999574813;
213.01507535671854;-0.00204757447558075;
212.94839574453016;-0.001960095251204019;
213.15564385100234;-0.0019184582562665844;
213.59623779188905;-0.0019158720493700327;
214.03683173277574;-0.001913285842473481;
216.11057342956263;-0.0019969065758368917;
218.85895309129307;-0.002058186083660073;
220.97941320142525;-0.002023538506567562;
223.09987331155736;-0.0019888909294750504;
225.50307944760027;-0.0019710805272182457;
229.46003852249015;-0.0020457941836059105;
235.17098319795002;-0.000851026115415204;
240.83659234116843;0.000455429491098747;
246.39030671986666;0.001783693790901509;
251.9440210985649;0.0031119580907042707;
257.4977354772631;0.004440222390507025;
262.276373526743;0.0037213944363141288;
266.9391955730064;0.002696679133823024;
271.60201761926965;0.0016719638313319198;
276.26483966553303;0.000647248528840815;
280.6979387172925;-0.0003884766375986563;
284.8987503413454;-0.002996519155679241;
288.62907480908734;-0.010310664316969571;
292.3593992768293;-0.017624809478259902;
296.08972374457124;-0.024938954639550228;
299.82004821231317;-0.03225309980084057;
302.57595270760424;-0.03951958061473218;
304.9385869436745;-0.046561099529688156;
307.4710819876628;-0.04970215524816323;
310.0035770316511;-0.052843210966638306;
312.53607207563937;-0.05598426668511338;
315.0685671196277;-0.05912532240358846;
317.53440427123843;-0.06226440026522345;
318.8235791246109;-0.06536856448809736;
319.75726740560026;-0.06661491456387127;
319.50084846600294;-0.061641625973267236;
319.51713593221945;-0.05666283783969154;
320.40687795906507;-0.05166643515512783;
321.2966199859107;-0.046670032470564074;
322.1863620127563;-0.0416736297860003;
323.076104039602;-0.036677227101436546;
323.9658460664476;-0.03168082441687278;
324.24501036998913;-0.02814173356025891;
324.3519604438807;-0.02501367937306679;
324.4589105177723;-0.02188562518587467;
324.565860591664;-0.018757570998682548;
324.6728106655556;-0.01562951681149043;
324.7797607394472;-0.012501462624298309;
324.1381815134041;-0.009380267044696248;
323.34461519567014;-0.006260464089031257;
321.96500584537034;-0.005218444818497862;
320.28349553890047;-0.00524679896151716;
318.77194710818657;-0.00528086218922602;
317.64901242033187;-0.005327979101825338;
316.52607773247723;-0.005375096014424658;
315.40314304462254;-0.005422212927023976;
314.2802083567678;-0.005469329839623295;
313.1572736689131;-0.005516446752222614;
312.03433898105834;-0.005563563664821933;
310.74953783145156;-0.005598184773140403;
309.43617201212385;-0.005630600739526957;
308.12280619279613;-0.005663016705913512;
306.8094403734684;-0.005695432672300067;
305.4960745541407;-0.005727848638686622;
304.18270873481293;-0.005760264605073177;
302.86934291548516;-0.005792680571459731;
301.19136891053915;-0.005811677860989303;
299.4615797508753;-0.005828768197123756;
297.68434320337417;-0.005845876324673022;
295.8107740805671;-0.005863020574185692;
293.9372049577601;-0.005880164823698363;
292.18862490269237;-0.005903752075354261;
290.52814442510953;-0.005931880730325021;
288.8676639475267;-0.005960009385295782;
287.20718346994386;-0.0059881380402665415;
285.546702992361;-0.006016266695237303;
283.8862225147781;-0.0060443953502080615;
282.2257420371953;-0.006072524005178822;
280.5590447602846;-0.006097316685154623;
278.8097528637329;-0.006077788554483117;
277.06046096718114;-0.006058260423811611;
275.32887939361115;-0.006039731781962116;
273.72317558235886;-0.006028307099566473;
272.1174717711066;-0.006016882417170829;
270.5117679598543;-0.006005457734775183;
268.90606414860207;-0.00599403305237954;
267.3003603373498;-0.005982608369983895;
265.69465652609756;-0.005971183687588252;
264.0889527148453;-0.005959759005192607;
262.4846240217593;-0.005946188791463736;
260.9064225738338;-0.005891853482403619;
259.3282211259084;-0.005837518173343501;
257.75001967798283;-0.005783182864283381;
256.1718182300574;-0.0057288475552232645;
254.5936167821319;-0.005674512246163147;
253.01541533420644;-0.005620176937103028;
251.43721388628094;-0.0055658416280429095;
249.85901243835545;-0.005511506318982791;
248.26386697248188;-0.005454479046769399;
246.64308174809574;-0.005393378284703352;
245.02229652370966;-0.0053322775226373065;
243.43804387127145;-0.005262122848229017;
241.96947769666826;-0.005163297451403621;
240.5009115220651;-0.005064472054578223;
239.0323453474619;-0.004965646657752826;
237.57604031484544;-0.004866904200161632;
236.12155345770262;-0.004768174041431473;
234.66706660055974;-0.004669443882701314;
233.21257974341688;-0.004570713723971154;
231.75809288627403;-0.004471983565240995;
230.30360602913117;-0.004373253406510837;
228.84911917198832;-0.0042745232477806785;
227.3946323148455;-0.004175793089050519;
225.9401454577026;-0.00407706293032036;
224.59118426865464;-0.003901863781293659;
223.30158126791005;-0.0036836508252251553;
222.01197826716543;-0.003465437869156652;
220.72092204907426;-0.0032464755298306867;
219.4016171049194;-0.0030129461180659857;
218.08231216076453;-0.00277941670630128;
216.76300721660965;-0.0025458872945365737;
215.44370227245477;-0.002312357882771868;
214.1243973282999;-0.0020788284710071617;
212.80509238414504;-0.0018452990592424559;
211.48578743999013;-0.00161176964747775;
210.16648249583525;-0.001378240235713044;
208.84717755168037;-0.001144710823948338;
207.5575589649157;-0.0009363152357130437;
206.37961762738064;-0.0008224706978979175;
205.20167628984564;-0.0007086261600827914;
204.02373495231063;-0.0005947816222676653;
202.84579361477563;-0.00048093708445253906;
201.66785227724063;-0.000367092546637413;
200.4899109397056;-0.00025324800882228684;
199.31196960217056;-0.00013940347100716078;
198.13402826463556;-2.5558933192034594e-05;
196.95608692710053;8.828560462309161e-05;
195.77814558956555;0.00020213014243821765;
194.62730332375406;0.00031088082545067887;
193.48557343579887;0.00041791864057672944;
